id,geometry,buildstart,opening,closure,length,city_id
1915,"LINESTRING(139.544193490749 35.6518857665648,139.541805308388 35.6526417292357,139.540366644308 35.6530859513872,139.5393020329 35.6534210647055,139.538362105686 35.6537327967721,139.53657816225 35.6542471520016,139.535436822076 35.6546134332619,139.535062769427 35.6547615039283,139.533461056747 35.6555174393818,139.532012801336 35.6561876443406,139.53026722226 35.6569591522433,139.528396958968 35.6578631318119,139.525932047864 35.6589852991177,139.52318931492 35.6602195088911,139.520992954452 35.6612247548318,139.517537833922 35.6628089425775,139.51699114156 35.6630427142536,139.516549951258 35.663190769301,139.516243036238 35.6632764852453,139.51566757063 35.6633777858023,139.514919465308 35.6635024632232,139.512819015398 35.6638219483415,139.510766521302 35.6642739005604,139.507256180971 35.6650297459701,139.505462646421 35.6654115620731,139.504353757255 35.6656365381567,139.503989295696 35.6657378357095,139.503011004122 35.6660884801036,139.501227060663 35.6667274281473,139.500162449255 35.6671170280987,139.497460918027 35.6680858414097,139.494813776144 35.669020862194,139.49380671125 35.6693948675248,139.492933921712 35.6697065372255,139.492444775913 35.6698623716244,139.491514439812 35.6700182057191,139.48977845185 35.6703610396429,139.485520006173 35.671179160118,139.480206540063 35.672184268269)",1916,1916,999999,6258,114
1917,"LINESTRING(139.698897430632 35.6885884423667,139.696645910961 35.6877163962642,139.695508132312 35.6872348144823,139.694754954894 35.6869094197261,139.694266190853 35.6865970395381,139.692573300797 35.6853494509381,139.691139058722 35.684353715294,139.689640716429 35.6834425737634,139.687979386085 35.6822666436007,139.686288743176 35.6812122941545,139.68543941545 35.6806590805416,139.684517975004 35.6801839646129,139.682399208724 35.6792315621634,139.680364027255 35.6783203621397,139.679386499093 35.678020965568,139.678441021099 35.6777020419059,139.676796297497 35.6772328333623,139.674304401579 35.6761393646457)",1978,1978,999999,2640,114
1596,"LINESTRING(139.7971853311 35.6957955566666,139.796540019141 35.6958193782468,139.795581828665 35.6959146644964,139.794320537122 35.6961449391331,139.792912583757 35.696391094037,139.791866396208 35.6965737245996,139.791064644979 35.6966928312673,139.789979347265 35.6967166527429,139.789089598962 35.6965816652198,139.787300324907 35.6962322846666,139.785931481366 35.6957955568301,139.78478751927 35.6951603120728,139.782909136672 35.6937505741136,139.781530515682 35.6926309231176,139.781090530243 35.6923053478862,139.780520789021 35.6919236439584,139.779748370165 35.6914789515731,139.779034616033 35.6910660207068,139.778496856072 35.6907801442371,139.777831989213 35.6903751508178,139.777225787079 35.690009860875,139.775700504267 35.6894857462914,139.773829986568 35.6888928427938,139.772910905916 35.6886387235101,139.771757166345 35.6882496017714,139.770603426799 35.6878287128697,139.769391022427 35.6873839977871,139.768804375216 35.6870901667204,139.768403499601 35.6862801403656,139.767992846537 35.6851047933713,139.767186065263 35.683367378957,139.766941628919 35.6830576495125,139.766560308229 35.6828432207311,139.765807444273 35.6824381870261,139.764159358858 35.6802424639115)",1972,1972,999999,3781,114
2560,"LINESTRING(16.4182495 48.1862074,16.4181313 48.1860287,16.4179933 48.185851,16.417806 48.185607,16.417588 48.1853387,16.4174396 48.1851532,16.4168912 48.1844672,16.4166746 48.1842154,16.4164437 48.1839655)",0,0,999999,283,118
2561,"LINESTRING(16.417375 48.1895146,16.4177106 48.1892488,16.4178815 48.1890974,16.4180335 48.1889311,16.4181902 48.1887396,16.4183213 48.1885263,16.418417 48.1883386,16.4184898 48.1881524,16.4185456 48.1879593,16.4185624 48.187786,16.4185677 48.1874754,16.4185539 48.1872135,16.4185221 48.1869507,16.4184448 48.1865695,16.4183841 48.1863841,16.4183007 48.186196)",0,0,999999,395,118
2562,"LINESTRING(16.4170845 48.1895171,16.4175392 48.1892057,16.4177474 48.1890493,16.4179369 48.1888835,16.4181118 48.1886968,16.418268 48.1884867,16.4183562 48.1883303,16.4184372 48.1881444,16.418492 48.1879547,16.4185086 48.1877846,16.4185138 48.1874758,16.4185001 48.1872155,16.4184685 48.1869545,16.4183918 48.1865765,16.4183278 48.1863922,16.4182495 48.1862074)",0,0,999999,403,118
3167,"LINESTRING(-1.565502 47.2544172,-1.5654552 47.2543949,-1.5653779 47.2543669,-1.5649783 47.2542206,-1.5648646 47.254179,-1.5643348 47.2539925)",,1994,999999,100,265
3891,"LINESTRING(2.54098090855223 48.8401001862531,2.55119169034899 48.8407851963645)",1991,1993,1993,753,95
3920,"LINESTRING(139.711149052338 35.6490980321521,139.711741918282 35.6488291402512,139.712569173111 35.6486050629897,139.713313702422 35.6484594124235,139.714182319941 35.6483585772746,139.715161238138 35.6483697811879,139.716085006013 35.6485490435726,139.717036349014 35.6486834901076,139.718084205096 35.6488515479442,139.718552982833 35.6488963633113,139.719104486017 35.6487843248603,139.719793865007 35.6485266357948,139.720593544675 35.6482129262591,139.72144837463 35.6479888472552,139.722261841827 35.6478319915925,139.722799557448 35.6476975436244)",1924,1924,1969,1099,114
2568,"LINESTRING(16.3949257 48.2005312,16.398417 48.1984328,16.3992324 48.197897,16.3998439 48.1975375,16.4003858 48.197219,16.4010747 48.1968993,16.4017754 48.1965891,16.4031621 48.1959847,16.4034957 48.1958384,16.4036146 48.1957863,16.4044676 48.1954123,16.4059031 48.194711,16.4066927 48.194373,16.4072072 48.1941527,16.4073114 48.1941053,16.4079531 48.1938303,16.4082463 48.1937325,16.4084803 48.193671,16.4086944 48.1936258,16.4093832 48.1935172,16.410362 48.1933538,16.4110797 48.1932011,16.4114048 48.1930786,16.4115612 48.1930048,16.412035 48.1927423)",0,0,999999,1557,118
